real_name,pi_const1,pi_const2,pi_const3,pi_const4,pi_const5,pi_const6,pi_const7,pi_const8,pi_const9,pi_const10,pi_const11,pi_const12,pi_const13,pi_const14,pi_const15,pi_const16,pi_const17,pi_const18,pi_const19,pi_const20,pi_const21,pi_const22,pi_const23,pi_const24
gen=1_member=152_pso,58259.543053803354269,58259.543053803354269,79086.808622562646633,79086.808622562646633,51439.801048859473667,51439.801048859473667,66010.226685968285892,66010.226685968285892,58259.543053803354269,58259.543053803354269,79086.808622562646633,79086.808622562646633,51439.801048859473667,51439.801048859473667,66010.226685968285892,66010.226685968285892,467580.9839981275145,467580.9839981275145,117955.06218390949653,117955.06218390949653,830549.58274075086229,830549.58274075086229,66010.226685968285892,66010.226685968285892
gen=1_member=153_pso,50516.023984055689652,50516.023984055689652,33148.254266198840924,33148.254266198840924,9547.1905909206088836,9547.1905909206088836,69964.210466668228037,69964.210466668228037,50516.023984055689652,50516.023984055689652,33148.254266198840924,33148.254266198840924,9547.1905909206088836,9547.1905909206088836,69964.210466668228037,69964.210466668228037,379431.65516836149618,379431.65516836149618,61469.181791314505972,61469.181791314505972,385017.28496587794507,385017.28496587794507,188281.55632296216208,188281.55632296216208
gen=1_member=154_pso,18129.375799575747806,18129.375799575747806,96849.190105271583889,96849.190105271583889,45728.964216535685409,45728.964216535685409,35210.219145682145609,35210.219145682145609,18129.375799575747806,18129.375799575747806,96849.190105271583889,96849.190105271583889,45728.964216535685409,45728.964216535685409,35210.219145682145609,35210.219145682145609,18129.375799575747806,18129.375799575747806,242638.76759785989998,242638.76759785989998,373815.33906132203992,373815.33906132203992,35210.219145682145609,35210.219145682145609
gen=1_member=155_pso,33859.624560571450274,33859.624560571450274,74587.374653802253306,74587.374653802253306,70718.685520515427925,70718.685520515427925,74820.076234993670369,74820.076234993670369,33859.624560571450274,33859.624560571450274,74587.374653802253306,74587.374653802253306,70718.685520515427925,70718.685520515427925,74820.076234993670369,74820.076234993670369,33859.624560571450274,33859.624560571450274,432893.36252621782478,432893.36252621782478,607602.84153054549824,607602.84153054549824,74820.076234993670369,74820.076234993670369
gen=1_member=156_pso,60011.093320977030089,60011.093320977030089,79256.727423446907778,79256.727423446907778,28822.776318664804421,28822.776318664804421,60011.093320977030089,60011.093320977030089,60011.093320977030089,60011.093320977030089,79256.727423446907778,79256.727423446907778,28822.776318664804421,28822.776318664804421,60011.093320977030089,60011.093320977030089,60011.093320977030089,60011.093320977030089,153375.2129991754191,153375.2129991754191,211844.78156380090513,211844.78156380090513,288708.54455123317894,288708.54455123317894
gen=1_member=157_pso,87459.74908117846644,87459.74908117846644,103107.77665255233296,103107.77665255233296,80261.094685296266107,80261.094685296266107,90777.991931571654277,90777.991931571654277,87459.74908117846644,87459.74908117846644,103107.77665255233296,103107.77665255233296,80261.094685296266107,80261.094685296266107,90777.991931571654277,90777.991931571654277,366801.744920087629,366801.744920087629,668488.40035723720212,668488.40035723720212,381157.32920019386802,381157.32920019386802,90777.991931571654277,90777.991931571654277
gen=1_member=158_pso,61800.947564914611576,61800.947564914611576,81207.678279503670637,81207.678279503670637,29083.323562160418078,29083.323562160418078,74012.1364484175283,74012.1364484175283,61800.947564914611576,61800.947564914611576,81207.678279503670637,81207.678279503670637,29083.323562160418078,29083.323562160418078,74012.1364484175283,74012.1364484175283,387516.06790819577873,387516.06790819577873,481299.83515818597516,481299.83515818597516,376967.29035916918656,376967.29035916918656,74012.1364484175283,74012.1364484175283
gen=1_member=159_pso,55784.872223627033236,55784.872223627033236,118932.29740071804554,118932.29740071804554,36276.524657912232215,36276.524657912232215,90263.806108690769179,90263.806108690769179,55784.872223627033236,55784.872223627033236,118932.29740071804554,118932.29740071804554,36276.524657912232215,36276.524657912232215,90263.806108690769179,90263.806108690769179,67984.962115451373393,67984.962115451373393,484302.48631075531011,484302.48631075531011,591817.43636211066041,591817.43636211066041,90263.806108690769179,90263.806108690769179
gen=1_member=160_pso,51206.932076118886471,51206.932076118886471,67685.01782617646677,67685.01782617646677,53283.259610445995349,53283.259610445995349,41735.503066886900342,41735.503066886900342,51206.932076118886471,51206.932076118886471,67685.01782617646677,67685.01782617646677,53283.259610445995349,53283.259610445995349,41735.503066886900342,41735.503066886900342,51206.932076118886471,51206.932076118886471,144429.8676657898468,144429.8676657898468,529904.22717623459175,529904.22717623459175,41735.503066886900342,41735.503066886900342
gen=1_member=161_pso,57142.010258536050969,57142.010258536050969,64476.289414454673533,64476.289414454673533,57522.669039003703801,57522.669039003703801,30640.446161726773425,30640.446161726773425,57142.010258536050969,57142.010258536050969,64476.289414454673533,64476.289414454673533,57522.669039003703801,57522.669039003703801,30640.446161726773425,30640.446161726773425,126475.17563931713812,126475.17563931713812,724526.46093125035986,724526.46093125035986,57522.669039003703801,57522.669039003703801,30640.446161726773425,30640.446161726773425
gen=1_member=162_pso,59076.79731959743367,59076.79731959743367,79104.734495607350254,79104.734495607350254,75968.337027272587875,75968.337027272587875,100977.55407721266965,100977.55407721266965,59076.79731959743367,59076.79731959743367,79104.734495607350254,79104.734495607350254,75968.337027272587875,75968.337027272587875,100977.55407721266965,100977.55407721266965,156882.39594892167952,156882.39594892167952,172259.27888763620285,172259.27888763620285,525567.34071947075427,525567.34071947075427,618460.32970347546507,618460.32970347546507
gen=1_member=163_pso,25550.574791719242057,25550.574791719242057,75038.135143005987629,75038.135143005987629,50000,50000,71098.30310407440993,71098.30310407440993,25550.574791719242057,25550.574791719242057,75038.135143005987629,75038.135143005987629,50000,50000,71098.30310407440993,71098.30310407440993,116498.60419975608238,116498.60419975608238,656825.99249890784267,656825.99249890784267,81086.267847339971922,81086.267847339971922,71098.30310407440993,71098.30310407440993
gen=1_member=164_pso,65325.211338632892875,65325.211338632892875,97566.162183703185292,97566.162183703185292,75808.329233218915761,75808.329233218915761,101325.80555564575479,101325.80555564575479,65325.211338632892875,65325.211338632892875,97566.162183703185292,97566.162183703185292,75808.329233218915761,75808.329233218915761,101325.80555564575479,101325.80555564575479,65325.211338632892875,65325.211338632892875,250441.80263523277245,250441.80263523277245,562554.69317181711085,562554.69317181711085,391058.79299958352931,391058.79299958352931
gen=1_member=165_pso,48768.760392555072031,48768.760392555072031,73254.364632462442387,73254.364632462442387,64088.222045472044556,64088.222045472044556,72902.738531506533036,72902.738531506533036,48768.760392555072031,48768.760392555072031,73254.364632462442387,73254.364632462442387,64088.222045472044556,64088.222045472044556,72902.738531506533036,72902.738531506533036,157582.55238458552049,157582.55238458552049,238552.96614216009039,238552.96614216009039,745316.51739039109088,745316.51739039109088,421493.7004239030648,421493.7004239030648
